SaveGameType TagID VersionIn VersionOut SaveVersionIn SaveVersionOut TypeID XMLName1 XMLName2

Table: -1 game

0 370 35 -1 -1 -1 2 GameId Id
1 537 1 -1 -1 -1 2 GameSaveGameName SaveGameName
0 117 1 -1 -1 -1 17 GameSceneLinks SceneLinks
0 118 1 -1 -1 -1 17 GameCharacterLinks CharacterLinks
0 662 99 -1 -1 -1 17 GameInterfaces Interfaces
0 120 1 -1 -1 -1 17 GameFontLinks FontLinks
0 259 23 -1 -1 -1 17 GameLanguages Languages
0 121 1 -1 -1 -1 16 GameFirstScene FirstScene
0 349 26 -1 -1 -1 17 GameItems Items
0 358 26 -1 -1 -1 16 GameLoading Loading
0 124 1 -1 -1 -1 2 GameDescription Description
0 125 1 -1 -1 -1 2 GameAbout About
0 126 1 -1 -1 -1 13 GameWindowResolution WindowResolution
0 215 8 -1 -1 -1 17 GameCursors Cursors
0 224 15 -1 -1 -1 3 GameIntro Intro
2 244 21 -1 100 -1 1 GameCommandBehaviour CommandBehaviour
2 234 17 -1 47 -1 1 GameFadeDelay FadeDelay
2 246 22 -1 100 -1 1 GameScrollSpeed ScrollSpeed
0 247 22 -1 -1 -1 0 GameFullScreenIntro FullScreenIntro
0 303 23 -1 -1 -1 16 GameFirstCharacter FirstCharacter
2 305 23 -1 100 -1 0 GameDraggableItems DraggableItems
2 306 23 -1 100 -1 16 GameStandardLanguage StandardLanguage
0 318 23 -1 -1 -1 17 GameActions Actions
0 368 34 -1 -1 -1 16 GameStartAction StartAction
0 337 24 -1 -1 -1 16 GameRightClickAction RightClickAction
0 369 35 -1 -1 -1 2 GameReserved Reserved
2 377 37 -1 100 -1 1 GameHoldTime HoldTime
0 379 37 -1 -1 -1 16 GameLeftDblClickAction LeftDblClickAction
0 381 37 -1 -1 -1 16 GameLeftHoldAction LeftHoldAction
0 386 39 -1 -1 -1 16 GameLeftHoldingAction LeftHoldingAction
0 448 41 -1 -1 -1 17 GameParticleContainerLinks ParticleContainerLinks
2 547 44 -1 47 -1 1 GameFadeEffect FadeEffect
0 548 45 -1 -1 -1 1 GameMinificationFilter MinificationFilter
0 549 45 -1 -1 -1 1 GameMagnificationFilter MagnificationFilter
1 468 1 -1 -1 -1 16 GameCurrentCharacter CurrentCharacter
1 469 1 -1 -1 -1 16 GameCurrentScene CurrentScene
1 470 1 -1 -1 -1 13 GameScrollPosition ScrollPosition
1 471 1 -1 -1 -1 13 GameScrollToPoint ScrollToPoint
1 472 1 -1 -1 -1 0 GameScrollTo ScrollTo
1 473 1 -1 -1 -1 1 GameScrollDirectionHorizontal ScrollDirectionHorizontal
1 474 1 -1 -1 -1 1 GameScrollDirectionVertical ScrollDirectionVertical
1 476 1 -1 -1 -1 16 GameDialog Dialog
1 477 1 -1 -1 -1 16 GameCurrentText CurrentText
2 628 100 -1 100 -1 0 GameAutoHideInterfacesInMenu AutoHideInterfacesInMenu
1 479 1 -1 -1 -1 0 GameHideInterfaces HideInterfaces
1 480 1 -1 -1 -1 0 GameHideCursor HideCursor
1 481 1 -1 -1 -1 16 GameDialogAction DialogAction
1 482 -1 -1 99 -1 16 GameCurrentDialogAction CurrentDialogAction
1 483 1 -1 -1 -1 16 GameDestinationCommand DestinationCommand
1 484 1 -1 -1 -1 16 GameDestinationItem DestinationItem
1 485 1 -1 -1 -1 0 GameDestinationItemPicked DestinationItemPicked
1 615 -1 -1 100 -1 1 GameDestinationEvent DestinationEvent
1 486 1 -1 -1 -1 16 GameSavedObject SavedObject
1 561 -1 -1 50 -1 0 GameScrollCenterCharacter ScrollCenterCharacter
1 611 -1 -1 100 -1 16 GameScrollCharacter ScrollCharacter
0 563 51 -1 -1 -1 16 GameLeftClickAction LeftClickAction
2 565 52 -1 100 -1 0 GameAlwaysAllowSkipText AlwaysAllowSkipText
2 578 55 -1 100 -1 0 GameExecuteActionsDuringDialog ExecuteActionsDuringDialog
1 579 -1 -1 56 -1 16 GameHiddenDialog HiddenDialog
0 582 58 -1 -1 -1 0 GameAlignCharacterOnImExecution AlignCharacterOnImExecution
1 583 -1 -1 59 -1 1 GameTextOutput TextOutput
2 616 99 -1 169 -1 3 GameComposedFile ComposedFile
0 617 99 -1 -1 -1 1 GameSceneComposedFiles SceneComposedFiles
0 618 99 -1 -1 -1 3 GameSceneComposedFile SceneComposedFile
0 619 100 -1 -1 -1 1 GameCharacterComposedFiles CharacterComposedFiles
0 620 100 -1 -1 -1 3 GameCharacterComposedFile CharacterComposedFile
0 621 100 -1 -1 -1 1 GameMovieComposedFiles MovieComposedFiles
0 622 100 -1 -1 -1 3 GameMovieComposedFile MovieComposedFile
0 627 100 -1 -1 -1 2 GameVersion Version
1 610 -1 -1 100 -1 16 GameActiveCommand ActiveCommand
2 588 99 -1 116 -1 1 GameDrawActionText DrawActionText
2 589 99 -1 139 -1 16 GameActionTextFont ActionTextFont
0 590 99 -1 -1 -1 14 GameActionTextRect ActionTextRect
0 629 99 -1 -1 -1 0 GameQuake Quake
1 630 -1 -1 99 -1 1 GameQuakeForce QuakeForce
1 631 -1 -1 99 -1 1 GameQuakeSpeed QuakeSpeed
2 592 99 -1 99 -1 1 GameSpeakerTextAlignment SpeakerTextAlignment
2 593 99 -1 99 -1 1 GameTextAlignment TextAlignment
1 633 -1 -1 99 -1 16 GameCutsceneAction CutsceneAction
0 642 99 -1 -1 -1 0 GameKeepCharacterSpritesDuringMenus KeepCharacterSpritesDuringMenus
0 643 99 -1 -1 -1 1 GameDisableInteractionDuringAnim DisableInteractionDuringAnim
1 646 -1 -1 99 -1 1 GameTextSpeed TextSpeed
0 651 100 -1 -1 -1 17 GameScriptLinks ScriptLinks
0 661 114 -1 -1 -1 17 GameInterfaceClasses InterfaceClasses
1 667 -1 -1 119 -1 1 GameHorizontalScrollDistance HorizontalScrollDistance
1 668 -1 -1 119 -1 1 GameVerticalScrollDistance VerticalScrollDistance
0 669 118 -1 -1 -1 1 GamePictureCacheSize PictureCacheSize
0 670 119 -1 -1 -1 1 GameInterfaceComposedFiles InterfaceComposedFiles
0 671 119 -1 -1 -1 3 GameInterfaceComposedFile InterfaceComposedFile
0 682 121 -1 -1 -1 1 GameGameComposedFiles GameComposedFiles
0 683 121 -1 -1 -1 3 GameGameComposedFile GameComposedFile
0 685 125 -1 -1 -1 16 GameObjectFont ObjectFont
1 686 -1 -1 126 -1 16 GameUsedItem UsedItem
1 687 -1 -1 126 -1 16 GameCurrentObject CurrentObject
1 689 -1 -1 132 -1 1 GameCursorHorizontalScrollDistance CursorHorizontalScrollDistance
1 690 -1 -1 132 -1 1 GameCursorVerticalScrollDistance CursorVerticalScrollDistance
0 699 134 -1 -1 -1 0 GameVideosEncrypted VideosEncrypted
0 700 136 -1 -1 -1 2 GameCompanyName CompanyName
0 701 136 -1 -1 -1 2 GameGameName GameName
1 702 -1 -1 59 -1 1 GameObjectTextOutput ObjectTextOutput
1 730 -1 -1 146 -1 0 GameUsedItemPicked UsedItemPicked
0 731 147 -1 -1 -1 1 GamePreloadPicThreads PreloadPicThreads
0 732 147 -1 -1 -1 1 GamePreloadedPicBufferSize PreloadedPicBufferSize
0 733 147 -1 -1 -1 1 GamePicBufferSize PicBufferSize
2 735 151 -1 150 151 16 GameVideoSubtitleFont VideoSubtitleFont
2 736 151 -1 150 151 13 GameVideoSubtitlePosition VideoSubtitlePosition
2 737 151 -1 150 151 2 GameVideoSubtitleLanguage VideoSubtitleLanguage
2 738 151 -1 150 151 2 GameVideoAudioLanguage VideoAudioLanguage
0 743 154 -1 -1 -1 1 GamePreallocatedTextures PreallocatedTextures
0 745 156 -1 -1 -1 0 GameNearestNeighborInterpolation NearestNeighborInterpolation
1 755 -1 -1 162 -1 16 GameSpeechLanguage SpeechLanguage
2 758 173 -1 164 -1 1 SpeakerSoundPanFactor kerSoundPanFactor
1 759 -1 -1 166 -1 2 GameRegisteredEventHandlers RegisteredEventHandlers
2 763 169 -1 169 -1 0 GameShowBlackScreenAfterVideo ShowBlackScreenAfterVideo
0 764 170 -1 -1 -1 3 GameSavegameScreenshot SavegameScreenshot
0 766 171 -1 -1 -1 16 GameMiddleClickAction MiddleClickAction
0 767 171 -1 -1 -1 16 GameMouseWheelUpAction MouseWheelUpAction
0 768 171 -1 -1 -1 16 GameMouseWheelDownAction MouseWheelDownAction
0 780 173 -1 -1 -1 1 GameLeftHoldBehaviour LeftHoldBehaviour
0 781 173 -1 -1 -1 1 GameMiddleClickBehaviour MiddleClickBehaviour
0 782 173 -1 -1 -1 1 GameRightClickBehaviour RightClickBehaviour
1 787 -1 -1 173 -1 1 GameShaderExclude ShaderExclude
0 788 175 -1 -1 -1 3 GameVideoPauseScreen VideoPauseScreen
0 790 177 -1 -1 -1 0 GameExecuteCalledActionImmediately ExecuteCalledActionImmediately
0 803 180 -1 -1 -1 9 GameContainers Containers
0 804 180 -1 -1 -1 9 GameBuildRules BuildRules
0 818 181 -1 -1 -1 3 GameIconFile IconFile
0 819 181 -1 -1 -1 2 GameBuildOptions BuildOptions
0 820 181 -1 -1 -1 17 GameShaderLinks ShaderLinks
0 826 183 -1 -1 -1 0 GameSmoothScrolling SmoothScrolling
0 834 184 -1 -1 -1 17 GameAudioMixLinks AudioMixLinks
0 835 184 -1 -1 -1 17 GameAudioContainerLinks AudioContainerLinks
1 840 -1 -1 186 -1 1 GameOverlayVisibility OverlayVisibility
1 841 -1 -1 186 -1 1 GameOverlayColor OverlayColor
0 843 186 -1 -1 -1 1 GameSaveNameOffsetY SaveNameOffsetY
2 851 188 -1 188 -1 16 GameDefaultSpeechBus DefaultSpeechBus
2 852 188 -1 188 -1 16 GameDefaultSoundBus DefaultSoundBus
2 853 188 -1 188 -1 16 GameWalksoundBus WalksoundBus
2 854 188 -1 188 -1 16 GameDefaultMusicBus DefaultMusicBus
2 856 188 -1 188 -1 16 GameCursor Cursor
0 857 188 -1 -1 -1 9 GameCustomActionParts CustomActionParts
0 863 189 -1 -1 -1 17 GamePlugins Plugins
0 877 192 -1 -1 -1 17 GameBlockContainers BlockContainers
2 880 193 -1 193 -1 16 GameWaitCursor WaitCursor
0 890 195 -1 -1 -1 17 GameBehaviours Behaviours
0 891 196 -1 -1 -1 1 GameLeftClickBehaviour LeftClickBehaviour
1 914 -1 -1 199 -1 1 GameQuakeForceX QuakeForceX
1 915 -1 -1 199 -1 1 GameQuakeForceY QuakeForceY
1 911 -1 -1 199 -1 13 GameFadeCenter FadeCenter
1 912 -1 -1 199 -1 13 GameFadeInCenter FadeInCenter
1 913 -1 -1 199 -1 1 GameFadeRadius FadeRadius
0 918 199 -1 -1 -1 11 GameAdditionalFolders AdditionalFolders
2 924 203 -1 203 -1 16 GameDefaultMovieBus DefaultMovieBus
0 926 203 -1 -1 -1 1 GameMinimumTurnAngle MinimumTurnAngle
0 927 203 -1 -1 -1 1 GameMinimumWalkTurnAngle MinimumWalkTurnAngle
0 928 203 -1 -1 -1 1 GameLimitFramerate LimitFramerate
0 935 205 -1 -1 -1 1 GameMinDelayBetweenTextSkips MinDelayBetweenTextSkips
0 936 205 -1 -1 -1 0 GameSkipTextTransitionFirst SkipTextTransitionFirst
0 937 205 -1 -1 -1 0 GameActivateMipmapping ActivateMipmapping
0 938 205 -1 -1 -1 0 GameActivateMultiresolution ActivateMultiresolution
Table: 0 Characters

0 271 23 -1 -1 -1 16 CharacterName Name
2 272 23 -1 -1 -1 3 CharacterWalkingSound WalkingSound
0 585 2 -1 -1 -1 17 CharacterInterfaces Interfaces
0 275 23 -1 -1 -1 16 CharacterFont Font
2 276 23 -1 -1 -1 16 CharacterCurrentOutfit CurrentOutfit
2 277 23 -1 -1 -1 16 CharacterCurrentCommentSet CurrentCommentSet
0 283 23 -1 -1 -1 16 CharacterDialogCursor DialogCursor
0 278 23 -1 -1 -1 17 CharacterDialogs Dialogs
0 280 23 -1 -1 -1 17 CharacterActions Actions
0 281 23 -1 -1 -1 17 CharacterOutfits Outfits
0 282 23 -1 -1 -1 17 CharacterCommentSets CommentSets
0 311 23 -1 -1 -1 16 CharacterStartObject StartObject
0 334 24 -1 -1 -1 17 CharacterValues Values
0 331 24 -1 -1 -1 17 CharacterConditions Conditions
0 456 41 -1 -1 -1 0 CharacterScale Scale
0 457 41 -1 -1 -1 16 CharacterActiveDialogFont ActiveDialogFont
0 581 57 -1 -1 -1 16 CharacterInactiveDialogFont InactiveDialogFont
0 458 41 -1 -1 -1 14 CharacterDialogArea DialogArea
0 459 41 -1 -1 -1 15 CharacterDialogActiveScrollUp DialogActiveScrollUp
0 460 41 -1 -1 -1 15 CharacterDialogInactiveScrollUp DialogInactiveScrollUp
0 461 41 -1 -1 -1 15 CharacterDialogActiveScrollDown DialogActiveScrollDown
0 462 41 -1 -1 -1 15 CharacterDialogInactiveScrollDown DialogInactiveScrollDown
0 463 41 -1 -1 -1 15 CharacterDialogSprite DialogSprite
0 464 41 -1 -1 -1 1 CharacterDialogVerticalSpace DialogVerticalSpace
1 502 1 -1 -1 -1 0 CharacterActive Active
1 503 1 -1 -1 -1 16 CharacterScene Scene
1 504 1 -1 -1 -1 16 CharacterFollowCharacter FollowCharacter
1 505 1 -1 -1 -1 16 CharacterActionCharacter ActionCharacter
1 506 1 -1 -1 -1 16 CharacterFollowAction FollowAction
1 507 1 -1 -1 -1 1 CharacterFollowReachDistance FollowReachDistance
1 508 1 -1 -1 -1 1 CharacterAnimState AnimState
1 599 1 -1 -1 -1 1 CharacterDirection Direction
1 511 1 -1 -1 -1 1 CharacterState State
1 512 1 -1 -1 -1 13 CharacterPosition Position
1 513 1 -1 -1 -1 13 CharacterDestination Destination
1 515 1 -1 -1 -1 16 CharacterDestinationObject DestinationObject
1 517 1 -1 -1 -1 16 CharacterActiveCommand ActiveCommand
1 564 -1 -1 51 -1 1 CharacterAnimIndex AnimIndex
2 566 52 -1 52 -1 1 CharacterScaleFactor ScaleFactor
1 595 -1 -1 100 -1 1 CharacterVisibility Visibility
1 596 -1 -1 100 -1 1 CharacterDestVisibility DestVisibility
1 597 -1 -1 100 -1 1 CharacterTimeToDestVisibility TimeToDestVisibility
1 663 -1 -1 114 -1 17 CharacterItems Items
1 664 -1 -1 115 -1 1 CharacterTint Tint
2 734 149 -1 148 -1 13 CharacterActionDestPosition ActionDestPosition
1 749 -1 -1 158 -1 4 CharacterSize Size
1 793 -1 -1 178 -1 1 CharacterMatrixId MatrixId
1 795 -1 -1 179 -1 1 CharacterShaderSet ShaderSet
1 801 -1 -1 180 -1 0 CharacterLightmapActive LightmapActive
0 839 186 -1 -1 -1 0 CharacterHarmonizeWalkAnimations HarmonizeWalkAnimations
2 855 -1 -1 188 -1 16 CharacterAudioBus AudioBus
0 907 197 -1 -1 -1 17 CharacterComponents Components
0 920 201 -1 -1 -1 16 CharacterActiveUsedDialogFont ActiveUsedDialogFont
0 919 201 -1 -1 -1 16 CharacterInactiveUsedDialogFont InactiveUsedDialogFont
0 932 204 -1 -1 -1 16 CharacterStartScene StartScene
0 933 204 -1 -1 -1 13 CharacterStartPos StartPos
1 942 -1 -1 206 -1 4 CharacterScaleX ScaleX
1 943 -1 -1 206 -1 4 CharacterScaleY ScaleY
0 944 206 -1 -1 -1 16 CharacterSnoopAnimation SnoopAnimation
0 945 206 -1 -1 -1 13 CharacterSnoopAnimationOffsetPos SnoopAnimationOffsetPos
2 946 206 -1 206 -1 0 CharacterRandomAnimationDisabled RandomAnimationDisabled
Table: 1 Interfaces

2 138 -1 -1 100 -1 1 InterfaceScrollStepSize ScrollStepSize
0 238 18 -1 -1 -1 15 InterfaceSprite Sprite
0 140 1 -1 -1 -1 17 InterfaceButtons Buttons
2 298 23 -1 100 -1 16 InterfaceStandardCommand StandardCommand
2 302 23 -1 100 -1 13 InterfaceOffset Offset
2 314 23 -1 100 -1 1 InterfaceDisplacement Displacement
0 320 23 -1 -1 -1 16 InterfaceActionTextFont ActionTextFont
0 319 23 -1 -1 -1 14 InterfaceActionTextRect ActionTextRect
2 324 23 -1 100 -1 1 InterfaceSize Size
0 325 23 -1 -1 -1 8 InterfaceBorder Border
0 388 40 -1 -1 -1 16 InterfaceLeaveAction LeaveAction
0 452 41 -1 -1 -1 17 InterfaceConditions Conditions
0 453 41 -1 -1 -1 17 InterfaceValues Values
1 609 -1 -1 100 -1 1 InterfaceItemsScrollPosition ItemsScrollPosition
1 606 -1 -1 100 -1 0 InterfaceVisible Visible
1 603 -1 -1 100 -1 1 InterfaceVisibility Visibility
1 604 -1 -1 100 -1 1 InterfaceDestVisibility DestVisibility
1 605 -1 -1 100 -1 1 InterfaceTimeToDestVisibility TimeToDestVisibility
1 607 1 -1 -1 -1 16 InterfaceActiveCommand ActiveCommand
0 587 99 -1 -1 -1 0 InterfaceDrawActionText DrawActionText
0 659 114 -1 -1 -1 16 InterfaceInterfaceClass InterfaceClass
1 688 -1 -1 128 -1 13 InterfacePosition Position
0 789 176 -1 -1 -1 0 InterfaceShowAlways ShowAlways
1 802 -1 -1 180 -1 1 InterfaceMatrixId MatrixId
0 908 197 -1 -1 -1 17 InterfaceComponents Components
Table: 2 Buttons

0 342 25 -1 -1 -1 16 ButtonActiveSprite ActiveSprite
0 343 25 -1 -1 -1 16 ButtonInactiveSprite InactiveSprite
0 229 15 -1 -1 -1 16 ButtonCursor Cursor
0 295 23 -1 -1 -1 16 ButtonName Name
0 296 23 -1 -1 -1 16 ButtonConjunction Conjunction
0 297 23 -1 -1 -1 1 ButtonType Type
0 612 100 -1 -1 -1 1 ButtonCommandType CommandType
0 336 24 -1 -1 -1 1 ButtonUse Use
0 613 100 -1 -1 -1 0 ButtonUseOnCurrentCharacter UseOnCurrentCharacter
0 454 41 -1 -1 -1 8 ButtonPolygon Polygon
0 455 41 -1 -1 -1 17 ButtonActions Actions
0 543 43 -1 -1 -1 16 ButtonCondition Condition
0 544 43 -1 -1 -1 0 ButtonConditionNegate ConditionNegate
0 545 43 -1 -1 -1 16 ButtonAnimation Animation
0 546 43 -1 -1 -1 17 ButtonAnimations Animations
0 567 53 -1 -1 -1 0 ButtonDraggable Draggable
0 584 60 -1 -1 -1 17 ButtonGroup Group
1 796 -1 -1 180 -1 4 ButtonRotation Rotation
1 797 -1 -1 180 -1 13 ButtonRotationCenter RotationCenter
1 798 -1 -1 180 -1 1 ButtonShaderSet ShaderSet
1 799 -1 -1 180 -1 4 ButtonScale Scale
1 800 -1 -1 180 -1 1 ButtonMatrixId MatrixId
1 814 -1 -1 180 -1 4 ButtonScaleX ScaleX
1 815 -1 -1 180 -1 4 ButtonScaleY ScaleY
0 882 194 -1 -1 -1 16 ButtonValue Value
0 883 194 -1 -1 -1 1 ButtonValueOperator ValueOperator
0 884 194 -1 -1 -1 1 ButtonValueInt ValueInt
1 888 -1 -1 195 -1 1 ButtonVisibility Visibility
0 906 197 -1 -1 -1 17 ButtonComponents Components
1 916 -1 -1 200 -1 13 ButtonOffset Offset
Table: 3 Fonts

0 248 23 -1 -1 -1 15 FontSprite Sprite
0 143 1 -1 -1 -1 6 FontLetters Letters
0 249 23 -1 -1 -1 2 FontAlphabet Alphabet
0 250 23 -1 -1 -1 1 FontLetterSpacing LetterSpacing
0 540 42 -1 -1 -1 1 VerticalLetterSpacing icalLetterSpacing
0 623 100 -1 -1 -1 1 FontSpaceWidth SpaceWidth
0 634 100 -1 -1 -1 0 FontAutoLineBreak AutoLineBreak
0 635 100 -1 -1 -1 1 FontLineWidth LineWidth
0 703 138 -1 -1 -1 2 FontKerning Kerning
0 769 171 -1 -1 -1 0 FontTrueTypeFont TrueTypeFont
0 770 171 -1 -1 -1 16 FontFont Font
0 771 171 -1 -1 -1 3 FontTrueTypeFontPath TrueTypeFontPath
0 772 171 -1 -1 -1 4 FontSize Size
0 773 171 -1 -1 -1 1 FontColor Color
0 774 171 -1 -1 -1 0 FontBorder Border
0 775 171 -1 -1 -1 1 FontBorderColor BorderColor
0 776 171 -1 -1 -1 4 FontBorderSize BorderSize
0 777 171 -1 -1 -1 0 FontShadow Shadow
0 778 171 -1 -1 -1 13 FontShadowOffset ShadowOffset
0 934 204 -1 -1 -1 17 FontSubtypes Subtypes
0 947 206 -1 -1 -1 1 FontShadowColor ShadowColor
Table: 4 Scenes

0 236 18 -1 -1 -1 15 SceneSprite Sprite
0 364 28 -1 -1 -1 16 SceneName Name
2 132 1 -1 43 -1 3 SceneBackgroundMusic BackgroundMusic
0 365 29 -1 -1 -1 0 SceneContinueMusic ContinueMusic
0 133 1 -1 -1 -1 1 CDTrack ck
2 315 23 -1 100 -1 1 SceneMusicVolume MusicVolume
2 316 23 -1 100 -1 1 SceneMusicBalance MusicBalance
0 136 1 -1 -1 -1 17 SceneObjects Objects
2 232 17 -1 100 -1 0 SceneScrollOnEdges ScrollOnEdges
0 292 23 -1 -1 -1 0 SceneIsMenu IsMenu
0 293 23 -1 -1 -1 16 SceneCursor Cursor
0 322 23 -1 -1 -1 6 SceneSavegameAreas SavegameAreas
0 323 23 -1 -1 -1 1 SceneSavegameScrollStep SavegameScrollStep
0 332 24 -1 -1 -1 17 SceneValues Values
0 330 24 -1 -1 -1 17 SceneConditions Conditions
0 335 24 -1 -1 -1 17 SceneActions Actions
0 348 25 -1 -1 -1 16 SceneSavegameFont SavegameFont
0 441 41 -1 -1 -1 16 SceneParticleSystem ParticleSystem
2 550 46 -1 46 -1 3 SceneLightMap LightMap
2 568 54 -1 54 -1 14 SceneScrollableArea ScrollableArea
